iter	Logloss	Accuracy	BalancedAccuracy
0	0.5360045894	0.9894736842	0.9545454545
1	0.4804639485	0.9263157895	0.6818181818
2	0.4386434248	0.9157894737	0.6363636364
3	0.4040748016	0.9052631579	0.5909090909
4	0.3203928971	0.9263157895	0.6818181818
5	0.2534875334	0.9789473684	0.9090909091
6	0.2340147419	0.9578947368	0.8181818182
7	0.1923980693	0.9789473684	0.9090909091
8	0.1596147992	0.9894736842	0.9545454545
9	0.1475226726	0.9894736842	0.9545454545
10	0.1340820876	0.9894736842	0.9545454545
11	0.1176189782	0.9894736842	0.9545454545
12	0.1078845166	0.9894736842	0.9545454545
13	0.09378755194	0.9894736842	0.9545454545
14	0.08385728521	0.9894736842	0.9545454545
15	0.07977127822	0.9894736842	0.9545454545
16	0.07326563173	0.9894736842	0.9545454545
17	0.06479330805	0.9894736842	0.9545454545
18	0.05982903037	0.9894736842	0.9545454545
19	0.05849693231	0.9894736842	0.9545454545
20	0.05505318923	0.9894736842	0.9545454545
21	0.04929022835	0.9894736842	0.9545454545
22	0.04898353203	0.9894736842	0.9545454545
23	0.04635387273	0.9894736842	0.9545454545
24	0.04338522899	0.9894736842	0.9545454545
25	0.04015437579	1	1
26	0.0391921338	1	1
27	0.03802886502	0.9894736842	0.9545454545
28	0.03501539991	1	1
29	0.03254536263	1	1
30	0.0303729083	1	1
31	0.02879000622	1	1
32	0.0279612695	1	1
33	0.02647427473	1	1
34	0.02573788627	1	1
35	0.02427631796	1	1
36	0.02292110211	1	1
37	0.02188701385	1	1
38	0.02071025215	1	1
39	0.02034549006	1	1
